title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Lost in Beijing', 2 theaters, 56 days / 8 weeks,"b'$13,500'",New Yorker,"January 25, 2008",b'Foreign',b'1 hrs. 52 min.',b'Unrated',b'N/A',"b'$1,350,967'"
b'Lost in Thailand', 35 theaters,N/A,"b'$61,700'",AMC Theaters,"February 8, 2013",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',"b'$197,757,387'"
b'Love (2012)', 15 theaters, 56 days / 8 weeks,"b'$338,100'",China Lion,"February 17, 2012",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Love Aaj Kal', 102 theaters, 35 days / 5 weeks,"b'$2,821,000'",Eros,"July 31, 2009",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',"b'$20,794,985'"
b'Love and Honor', 3 theaters, 189 days / 27 weeks,"b'$73,500'",Eleven Arts,"May 2, 2008",b'Foreign / Action',b'2 hrs. 1 min.',b'PG-13',b'N/A',"b'$33,755,574'"
b'Love and Lost (Shi Gu)', 24 theaters, 52 days / 7.4 weeks,"b'$197,600'",China Lion,"March 20, 2015",b'Foreign',b'1 hrs. 48 min.',b'Unrated',b'N/A',"b'$188,817'"
b'Love At First Fight', 7 theaters, 70 days / 10 weeks,"b'$26,200'",Strand,"May 22, 2015",b'Foreign',b'1 hrs. 38 min.',b'Unrated',b'N/A',N/A
b'Love Crime', 29 theaters, 91 days / 13 weeks,"b'$588,700'",IFC,"September 2, 2011",b'Foreign',b'1 hrs. 46 min.',b'Unrated',b'N/A',"b'$3,608,661'"
b'Love for Sale:<br/>Suely in the Sky', 1 theaters, 58 days / 8.3 weeks,"b'$17,300'",Strand,"August 15, 2007",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',"b'$13,703'"
b'Love Forecast', 1 theaters, 17 days / 2.4 weeks,"b'$34,400'",CJ Entertainment,"January 23, 2015",b'Foreign',b'1 hrs. 58 min.',b'Unrated',b'N/A',"b'$32,211'"
b'Love in Space', 16 theaters, 21 days / 3 weeks,"b'$37,900'",China Lion,"September 9, 2011",b'Foreign',b'1 hrs. 43 min.',b'PG',b'N/A',"b'$34,787'"
b'Love in the Buff', 14 theaters, 42 days / 6 weeks,"b'$273,500'",China Lion,"March 30, 2012",b'Foreign',b'1 hrs. 52 min.',b'Unrated',b'N/A',"b'$256,451'"
b'Love is in the Air', 6 theaters, 14 days / 2 weeks,"b'$9,200'",Focus Features,"January 31, 2014",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$8,425'"
b'Love on the Cloud (Wei Ai)', 17 theaters, 37 days / 5.3 weeks,"b'$288,000'",China Lion,"December 24, 2014",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',"b'$271,734'"
b'Love Songs', 7 theaters, 105 days / 15 weeks,"b'$126,100'",IFC,"March 21, 2008",b'Foreign',b'1 hrs. 31 min.',b'Unrated',b'N/A',"b'$2,966,934'"
b'Love U Mr. Kalakaar', 13 theaters, 7 days / 1 weeks,"b'$52,200'",Eros,"May 13, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$48,557'"
b'Lovers of the Arctic Circle', 23 theaters, 18 days / 2.6 weeks,"b'$541,100'",Fine Line,"April 9, 1999",b'Foreign',b'1 hrs. 52 min.',b'R',b'N/A',N/A
"b'Lucia, Lucia'", 53 theaters, 35 days / 5 weeks,"b'$387,200'",Fox Searchlight,"July 25, 2003",b'Foreign',b'1 hrs. 49 min.',b'R',b'N/A',"b'$269,586'"
b'Luck', 45 theaters, 14 days / 2 weeks,"b'$180,100'",Studio 18,"July 24, 2009",b'Foreign',b'2 hrs. 25 min.',b'Unrated',b'N/A',"b'$409,198'"
b'Luck by Chance', 57 theaters, 28 days / 4 weeks,"b'$413,300'",AdLabs,"January 30, 2009",b'Foreign',b'2 hrs. 36 min.',b'Unrated',b'N/A',"b'$4,504,365'"
b'Lucky', 44 theaters,N/A,"b'$612,700'",Eros,"April 8, 2005",b'Foreign',b'3 hrs. 0 min.',b'Unrated',b'N/A',N/A
"b'Lula, Son of Brazil'",N/A,N/A,N/A,New Yorker,"January 13, 2012",b'Foreign',b'2 hrs. 8 min.',b'Not Yet Rated',b'N/A',"b'$3,848,129'"
b'Lunacy', 5 theaters, 184 days / 26.3 weeks,"b'$63,700'",Zeitgeist,"August 9, 2006",b'Foreign / Horror',b'1 hrs. 58 min.',b'Unrated',b'N/A',"b'$133,982'"
b'The Lunchbox', 165 theaters, 203 days / 29 weeks,"b'$4,434,600'",Sony Classics,"February 28, 2014",b'Foreign',b'1 hrs. 44 min.',b'PG',b'N/A',"b'$4,235,151'"
"b'Lust, Caution'", 143 theaters, 119 days / 17 weeks,"b'$5,791,000'",Focus Features,"September 28, 2007",b'Foreign',b'2 hrs. 38 min.',b'NC-17',b'$15 million',"b'$67,091,915'"
b'Luv Shuv Tey Chicken Khurana', 60 theaters, 14 days / 2 weeks,"b'$159,700'",UTV Communications,"November 2, 2012",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$143,507'"
